#  Mach amont      Angle Choc en °  Theta Mc = 1 en °  Mach aval         Kp
     6.00000000       65.37646889       53.18626991        1.04739840        1.41021090
     7.00000000       65.75488534       53.83157233        1.04561426        1.42823431
     8.00000000       66.00505489       54.25507514        1.04446574        1.43997795
     9.00000000       66.17871935       54.54765740        1.04368131        1.44805069
    10.00000000       66.30406487       54.75811593        1.04311981        1.45383676
    11.00000000       66.39735464       54.91440854        1.04270755        1.45812197
    12.00000000       66.46863945       55.03363093        1.04239500        1.46138409
    13.00000000       66.52436231       55.12667453        1.04214971        1.46392605
    14.00000000       66.56861287       55.20054204        1.04196037        1.46594118
    15.00000000       66.60446970       55.26030080        1.04180357        1.46757010
    16.00000000       66.63386795       55.30926453        1.04167550        1.46890364
